         80388559 function calls (80327522 primitive calls) in 198.960 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.074    0.074  198.960  198.960 enrichissement.py:28(main)
       11    0.000    0.000  198.022   18.002 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/generic.py:5781(pipe)
       11    0.012    0.001  198.022   18.002 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/common.py:469(pipe)
       95    0.000    0.000  121.710    1.281 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/parsers/readers.py:1696(__next__)
       95    1.207    0.013  121.710    1.281 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/parsers/readers.py:1803(get_chunk)
      101    0.003    0.000  120.908    1.197 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/parsers/readers.py:1762(read)
      100    0.169    0.002  115.187    1.152 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/parsers/c_parser_wrapper.py:218(read)
      100  104.076    1.041  108.564    1.086 {method 'read_low_memory' of 'pandas._libs.parsers.TextReader' objects}
        1    0.028    0.028   77.590   77.590 enrichissement.py:312(enrichissement_siret)
        1    2.145    2.145   77.360   77.360 enrichissement.py:382(get_enrichissement_insee)
        1    1.397    1.397   56.578   56.578 enrichissement.py:600(enrichissement_acheteur)
        1    0.879    0.879   48.453   48.453 enrichissement.py:201(enrichissement_type_entreprise)
       91    0.001    0.000   25.244    0.277 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/reshape/merge.py:93(merge)
      509    0.007    0.000   21.327    0.042 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/managers.py:296(apply)
       91    0.056    0.001   16.990    0.187 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/reshape/merge.py:769(get_result)
  238/180    0.002    0.000   16.810    0.093 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/generic.py:6076(astype)
      236    0.001    0.000   16.787    0.071 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/managers.py:444(astype)
      239    0.002    0.000   16.783    0.070 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/blocks.py:504(astype)
      239    0.001    0.000   16.776    0.070 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/dtypes/astype.py:239(astype_array_safe)
      239    0.002    0.000   16.771    0.070 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/dtypes/astype.py:192(astype_array)
       91    0.001    0.000   13.686    0.150 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/reshape/merge.py:1004(_get_join_info)
       90    0.003    0.000   13.677    0.152 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/reshape/merge.py:998(_get_join_indexers)
       90    0.003    0.000   13.675    0.152 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/reshape/merge.py:1543(get_join_indexers)
    14860   13.254    0.001   13.254    0.001 {built-in method pandas._libs.lib.ensure_string_array}
     3117    0.005    0.000   12.647    0.004 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/arrays/numpy_.py:112(_from_backing_data)
     3123    0.020    0.000   12.644    0.004 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/arrays/string_.py:305(__init__)
     3123    3.997    0.001   12.586    0.004 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/arrays/string_.py:313(_validate)
      176    0.089    0.001   12.381    0.070 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/reshape/merge.py:2219(_factorize_keys)
       56    0.302    0.005   12.093    0.216 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/strings/accessor.py:121(wrapper)
      176    0.592    0.003   11.659    0.066 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/reshape/merge.py:1581(<genexpr>)
      176   10.802    0.061   10.802    0.061 {method 'factorize' of 'pandas._libs.hashtable.ObjectFactorizer' objects}
  528/420    0.002    0.000   10.252    0.024 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/util/_decorators.py:323(wrapper)
      116    0.001    0.000   10.148    0.087 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/dtypes/astype.py:68(astype_nansafe)
     3115    8.588    0.003    8.588    0.003 {built-in method pandas._libs.lib.is_string_array}
       91    0.002    0.000    8.253    0.091 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/reshape/merge.py:628(__init__)
       91    0.001    0.000    8.132    0.089 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/reshape/merge.py:1098(_get_merge_keys)
       79    0.001    0.000    8.113    0.103 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/generic.py:1871(_drop_labels_or_levels)
      705    1.700    0.002    8.111    0.012 {method 'copy' of 'pandas._libs.arrays.NDArrayBacked' objects}
