         80388559 function calls (80327522 primitive calls) in 198.960 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       39    0.001    0.000    7.864    0.202 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/strings/object_array.py:39(_str_map)
       24    0.000    0.000    7.763    0.323 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/strings/accessor.py:1652(zfill)
    13/11    0.000    0.000    7.732    0.703 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/util/_decorators.py:170(wrapper)
       40    3.109    0.078    7.034    0.176 {pandas._libs.lib.map_infer_mask}
        1    0.015    0.015    7.021    7.021 enrichissement.py:704(enrichissement_geo)
        1    0.019    0.019    6.960    6.960 enrichissement.py:568(enrichissement_cpv)
        1    0.000    0.000    6.721    6.721 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/excel/_base.py:440(read_excel)
     1085    6.631    0.006    6.632    0.006 {built-in method numpy.array}
       97    0.976    0.010    6.450    0.066 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/parsers/c_parser_wrapper.py:351(_concatenate_chunks)
      228    0.002    0.000    6.419    0.028 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/generic.py:6258(copy)
      228    0.002    0.000    6.411    0.028 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/managers.py:611(copy)
        1    0.000    0.000    6.323    6.323 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/frame.py:9398(apply)
        1    0.000    0.000    6.323    6.323 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/apply.py:713(apply)
        1    0.000    0.000    6.323    6.323 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/apply.py:872(apply_standard)
        1    0.036    0.036    6.317    6.317 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/apply.py:878(apply_series_generator)
    21828    0.150    0.000    6.090    0.000 enrichissement.py:795(get_distance)
      992    0.004    0.000    5.727    0.006 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/frame.py:607(__init__)
      109    0.002    0.000    5.711    0.052 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/construction.py:423(dict_to_mgr)
      405    0.003    0.000    4.768    0.012 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/arrays/_mixins.py:214(_concat_same_type)
        1    0.000    0.000    4.743    4.743 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/excel/_base.py:1620(__init__)
        1    0.000    0.000    4.742    4.742 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/excel/_openpyxl.py:541(__init__)
      107    0.001    0.000    4.724    0.044 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/construction.py:488(<listcomp>)
      456    0.002    0.000    4.658    0.010 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/arrays/string_.py:422(astype)
      452    0.001    0.000    4.648    0.010 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/arrays/base.py:579(astype)
        1    0.000    0.000    4.610    4.610 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/excel/_base.py:524(__init__)
        1    0.000    0.000    4.610    4.610 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/excel/_openpyxl.py:565(load_workbook)
        1    0.000    0.000    4.610    4.610 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/openpyxl/reader/excel.py:288(load_workbook)
        1    0.000    0.000    4.609    4.609 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/openpyxl/reader/excel.py:275(read)
        1    0.005    0.005    4.603    4.603 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/openpyxl/reader/excel.py:139(read_strings)
        1    0.401    0.401    4.598    4.598 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/openpyxl/reader/strings.py:9(read_string_table)
    20381    0.045    0.000    4.550    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geopy/distance.py:516(__init__)
    20381    0.067    0.000    4.488    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geopy/distance.py:240(__init__)
    20381    0.073    0.000    4.380    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geopy/distance.py:537(measure)
     1467    0.004    0.000    4.345    0.003 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/blocks.py:544(copy)
       24    0.001    0.000    3.899    0.162 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/strings/accessor.py:426(cat)
 23577158    2.727    0.000    3.842    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/strings/accessor.py:1716(<lambda>)
6486/5884    2.395    0.000    3.692    0.001 {built-in method numpy.core._multiarray_umath.implement_array_function}
    14746    0.014    0.000    3.523    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/arrays/string_.py:355(_from_sequence_of_strings)
    14789    0.352    0.000    3.519    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/arrays/string_.py:329(_from_sequence)
       91    0.003    0.000    3.230    0.035 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/reshape/merge.py:715(_reindex_and_concat)
    20381    0.076    0.000    2.987    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geodesic.py:1018(Inverse)
    20381    0.367    0.000    2.831    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geodesic.py:704(_GenInverse)
242830/241579    0.638    0.000    2.823    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/openpyxl/descriptors/serialisable.py:46(from_tree)
2506/2072    0.001    0.000    2.686    0.001 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:108(isna)
2506/2072    0.003    0.000    2.685    0.001 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:191(_isna)
 1158/713    0.002    0.000    2.671    0.004 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:268(_isna_array)
      666    0.001    0.000    2.666    0.004 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:309(_isna_string_dtype)
      650    2.600    0.004    2.600    0.004 {built-in method pandas._libs.missing.isnaobj}
     1744    0.004    0.000    2.358    0.001 <__array_function__ internals>:177(concatenate)
      406    0.508    0.001    2.356    0.006 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/managers.py:1840(_consolidate_inplace)
      769    0.006    0.000    2.257    0.003 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/frame.py:3755(__getitem__)
      200    0.001    0.000    2.158    0.011 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/generic.py:4097(_slice)
      200    0.005    0.000    2.152    0.011 {method 'get_slice' of 'pandas._libs.internals.BlockManager' objects}
      899    0.002    0.000    2.146    0.002 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/blocks.py:1823(getitem_block_index)
     1241    0.004    0.000    2.145    0.002 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/arrays/_mixins.py:283(__getitem__)
       95    0.000    0.000    2.006    0.021 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/frame.py:5240(drop)
       95    0.001    0.000    2.005    0.021 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/generic.py:4475(drop)
        1    0.000    0.000    1.978    1.978 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/excel/_base.py:1700(parse)
        1    0.002    0.002    1.978    1.978 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/excel/_base.py:697(parse)
        1    0.022    0.022    1.964    1.964 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/excel/_openpyxl.py:606(get_sheet_data)
       24    0.282    0.012    1.876    0.078 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/strings/accessor.py:3231(cat_safe)
      200    0.002    0.000    1.835    0.009 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/managers.py:2285(_consolidate)
      500    1.157    0.002    1.825    0.004 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/managers.py:2327(_merge_blocks)
       24    0.000    0.000    1.685    0.070 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/strings/accessor.py:618(<listcomp>)
     9456    0.015    0.000    1.672    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/openpyxl/worksheet/_read_only.py:58(_cells_by_row)
   241515    0.277    0.000    1.663    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/openpyxl/cell/text.py:161(__init__)
       24    0.000    0.000    1.593    0.066 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/strings/accessor.py:3267(cat_core)
    41348    0.271    0.000    1.564    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geodesic.py:627(_Lambda12)
       25    0.000    0.000    1.563    0.063 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/series.py:5490(isin)
    49/25    1.557    0.032    1.559    0.062 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/algorithms.py:439(isin)
     1336    1.553    0.001    1.553    0.001 {method 'copy' of 'numpy.ndarray' objects}
      365    0.002    0.000    1.553    0.004 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/managers.py:681(reindex_indexer)
     2100    0.005    0.000    1.534    0.001 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/array_algos/take.py:57(take_nd)
     2100    0.011    0.000    1.461    0.001 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
966752/966750    0.157    0.000    1.448    0.000 /usr/lib/python3.8/xml/etree/ElementTree.py:1224(iterator)
     9456    0.115    0.000    1.438    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/openpyxl/worksheet/_reader.py:113(parse)
     2997    1.299    0.000    1.299    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      149    0.001    0.000    1.266    0.008 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
       24    0.000    0.000    1.263    0.053 <__array_function__ internals>:177(sum)
       24    0.000    0.000    1.263    0.053 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2162(sum)
      176    1.260    0.007    1.260    0.007 {method 'factorize' of 'pandas._libs.hashtable.Int64Factorizer' objects}
      686    0.004    0.000    1.254    0.002 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/blocks.py:859(take_nd)
    86933    0.123    0.000    1.164    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/generic.py:5888(__getattr__)
       95    0.002    0.000    1.148    0.012 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/generic.py:4512(_drop_axis)
      147    0.008    0.000    1.116    0.008 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/managers.py:764(_slice_take_blocks_ax0)
 23577158    1.115    0.000    1.115    0.000 {method 'zfill' of 'str' objects}
    20381    0.183    0.000    1.080    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geodesic.py:274(__init__)
    61729    0.228    0.000    1.059    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geodesic.py:429(_Lengths)
  189/185    0.001    0.000    1.003    0.005 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/frame.py:3952(__setitem__)
      188    0.002    0.000    0.999    0.005 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/frame.py:4161(_set_item)
      188    0.001    0.000    0.939    0.005 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/reshape/concat.py:146(concat)
24867/24843    0.883    0.000    0.917    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/generic.py:5904(__setattr__)
      188    0.004    0.000    0.883    0.005 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/reshape/concat.py:565(get_result)
      110    0.001    0.000    0.882    0.008 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/construction.py:100(arrays_to_mgr)
      110    0.001    0.000    0.870    0.008 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/managers.py:2148(create_block_manager_from_column_arrays)
      110    0.004    0.000    0.868    0.008 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/managers.py:2219(_form_blocks)
      662    0.867    0.001    0.867    0.001 {pandas._libs.algos.take_2d_axis0_object_object}
      185    0.679    0.004    0.858    0.005 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/managers.py:2271(_stack_arrays)
       99    0.001    0.000    0.856    0.009 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/generic.py:4598(_update_inplace)
     1364    0.729    0.001    0.729    0.001 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
     1310    0.001    0.000    0.728    0.001 /usr/lib/python3.8/xml/etree/ElementTree.py:1268(feed)
      251    0.000    0.000    0.660    0.003 <__array_function__ internals>:177(vstack)
      251    0.001    0.000    0.659    0.003 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/numpy/core/shape_base.py:222(vstack)
     9455    0.023    0.000    0.635    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/openpyxl/worksheet/_reader.py:265(parse_row)
  1838355    0.633    0.000    0.633    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geomath.py:112(polyval)
   245488    0.162    0.000    0.628    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/openpyxl/descriptors/nested.py:28(__set__)
    85520    0.164    0.000    0.616    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/series.py:966(__getitem__)
       68    0.614    0.009    0.614    0.009 {pandas._libs.join.inner_join}
4619953/4616770    0.511    0.000    0.612    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.608    0.304 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/generic.py:3536(to_csv)
        2    0.000    0.000    0.608    0.304 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/formats/format.py:1139(to_csv)
        2    0.000    0.000    0.607    0.304 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/formats/csvs.py:236(save)
      190    0.001    0.000    0.606    0.003 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/frame.py:4881(_sanitize_column)
     9455    0.046    0.000    0.602    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/openpyxl/worksheet/_reader.py:286(<listcomp>)
      176    0.001    0.000    0.593    0.003 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/frame.py:11999(_reindex_for_setitem)
      550    0.591    0.001    0.593    0.001 {pandas._libs.lib.infer_dtype}
       68    0.000    0.000    0.592    0.009 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/accessor.py:178(__get__)
       67    0.001    0.000    0.592    0.009 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/strings/accessor.py:178(__init__)
       67    0.000    0.000    0.589    0.009 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/strings/accessor.py:197(_validate)
        2    0.000    0.000    0.588    0.294 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/formats/csvs.py:263(_save)
        2    0.009    0.005    0.588    0.294 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/formats/csvs.py:296(_save_body)
      186    0.013    0.000    0.579    0.003 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/concat.py:176(concatenate_managers)
       15    0.000    0.000    0.579    0.039 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/formats/csvs.py:306(_save_chunk)
        1    0.009    0.009    0.569    0.569 enrichissement.py:150(enrichissement_arrondissement)
   236373    0.295    0.000    0.556    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/openpyxl/worksheet/_reader.py:177(parse_cell)
   483083    0.384    0.000    0.555    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/openpyxl/descriptors/sequence.py:23(__set__)
     1314    0.533    0.000    0.533    0.000 {pandas._libs.algos.ensure_object}
   241515    0.258    0.000    0.503    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/openpyxl/cell/text.py:173(content)
        1    0.001    0.001    0.473    0.473 enrichissement.py:754(get_df_villes)
   968064    0.318    0.000    0.465    0.000 /usr/lib/python3.8/xml/etree/ElementTree.py:1292(read_events)
124281/83519    0.132    0.000    0.449    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geopy/point.py:154(__new__)
   246184    0.166    0.000    0.441    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/openpyxl/descriptors/base.py:64(__set__)
      223    0.003    0.000    0.432    0.002 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/managers.py:742(<listcomp>)
       15    0.423    0.028    0.423    0.028 {pandas._libs.writers.write_csv_rows}
   489983    0.281    0.000    0.421    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/openpyxl/descriptors/base.py:38(__set__)
        8    0.000    0.000    0.404    0.050 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/parsers/readers.py:854(read_csv)
        8    0.001    0.000    0.403    0.050 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/parsers/readers.py:571(_read)
     4233    0.397    0.000    0.397    0.000 {built-in method numpy.empty}
        1    0.013    0.013    0.391    0.391 enrichissement.py:268(apply_luhn)
      188    0.001    0.000    0.390    0.002 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/frame.py:4136(_set_item_mgr)
      171    0.001    0.000    0.380    0.002 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/frame.py:4129(_iset_item_mgr)
    85588    0.055    0.000    0.371    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/indexes/base.py:5404(_can_hold_identifiers_and_holds_name)
    14345    0.016    0.000    0.353    0.000 /usr/lib/python3.8/codecs.py:319(decode)
      828    0.001    0.000    0.352    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/frame.py:4260(_clear_item_cache)
      828    0.351    0.000    0.351    0.000 {method 'clear' of 'dict' objects}
    20381    0.207    0.000    0.348    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geodesic.py:366(_C4coeff)
    14345    0.338    0.000    0.338    0.000 {built-in method _codecs.utf_8_decode}
9049/8924    0.335    0.000    0.336    0.000 {built-in method numpy.asarray}
   243969    0.157    0.000    0.331    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/openpyxl/xml/functions.py:75(localname)
       24    0.000    0.000    0.321    0.013 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/strings/accessor.py:617(<listcomp>)
    20381    0.190    0.000    0.318    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geodesic.py:339(_C3coeff)
        1    0.028    0.028    0.313    0.313 enrichissement.py:164(get_code_arrondissement)
    85624    0.084    0.000    0.307    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/series.py:1072(_get_value)
    61729    0.199    0.000    0.307    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geodesic.py:204(_C1f)
        2    0.013    0.006    0.298    0.149 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/frame.py:10061(merge)
     9455    0.038    0.000    0.265    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/excel/_openpyxl.py:616(<listcomp>)
      569    0.001    0.000    0.263    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/blocks.py:1756(take_nd)
    83519    0.110    0.000    0.262    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geopy/point.py:56(_normalize_coordinates)
      577    0.001    0.000    0.260    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/arrays/_mixins.py:154(take)
        1    0.029    0.029    0.258    0.258 enrichissement.py:117(enrichissement_departement)
   209790    0.232    0.000    0.252    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geodesic.py:121(_SinCosSeries)
        1    0.028    0.028    0.246    0.246 enrichissement.py:184(get_libelle_arrondissement)
   186116    0.110    0.000    0.229    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1591(_is_dtype_type)
    61143    0.131    0.000    0.228    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geomath.py:167(sincosd)
    85605    0.041    0.000    0.228    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/indexes/base.py:2582(is_object)
   236375    0.192    0.000    0.227    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/excel/_openpyxl.py:584(_convert_cell)
     9455    0.116    0.000    0.220    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/openpyxl/worksheet/_read_only.py:101(_get_row)
      514    0.002    0.000    0.219    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/concat.py:527(_concatenate_join_units)
    98962    0.073    0.000    0.211    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/dtypes/common.py:162(is_object_dtype)
    43166    0.124    0.000    0.199    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geodesic.py:254(_C2f)
