         162598121 function calls (162250956 primitive calls) in 223.822 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       24    0.000    0.000    7.022    0.293 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/strings/accessor.py:1652(zfill)
       40    3.053    0.076    6.831    0.171 {pandas._libs.lib.map_infer_mask}
        1    0.000    0.000    6.332    6.332 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/excel/_base.py:440(read_excel)
       56    0.001    0.000    6.108    0.109 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/reshape/merge.py:1004(_get_join_info)
       55    0.000    0.000    6.102    0.111 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/reshape/merge.py:998(_get_join_indexers)
       55    0.001    0.000    6.102    0.111 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/reshape/merge.py:1543(get_join_indexers)
     4124    6.080    0.001    6.084    0.001 {built-in method numpy.array}
       97    0.842    0.009    5.714    0.059 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/parsers/c_parser_wrapper.py:351(_concatenate_chunks)
      106    0.040    0.000    5.574    0.053 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/reshape/merge.py:2219(_factorize_keys)
      700    1.156    0.002    5.366    0.008 {method 'copy' of 'pandas._libs.arrays.NDArrayBacked' objects}
      106    0.178    0.002    5.134    0.048 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/reshape/merge.py:1581(<genexpr>)
      851    0.004    0.000    5.062    0.006 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/frame.py:607(__init__)
      109    0.002    0.000    5.049    0.046 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/construction.py:423(dict_to_mgr)
      106    4.915    0.046    4.915    0.046 {method 'factorize' of 'pandas._libs.hashtable.ObjectFactorizer' objects}
 14368303    4.667    0.000    4.667    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geomath.py:112(polyval)
      154    0.001    0.000    4.620    0.030 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/reshape/concat.py:146(concat)
      154    0.003    0.000    4.581    0.030 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/reshape/concat.py:565(get_result)
   667917    1.225    0.000    4.515    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/series.py:966(__getitem__)
        1    0.000    0.000    4.488    4.488 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/excel/_base.py:1620(__init__)
        1    0.000    0.000    4.487    4.487 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/excel/_openpyxl.py:541(__init__)
      438    0.002    0.000    4.477    0.010 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/arrays/_mixins.py:214(_concat_same_type)
        1    0.000    0.000    4.360    4.360 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/excel/_base.py:524(__init__)
        1    0.000    0.000    4.360    4.360 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/excel/_openpyxl.py:565(load_workbook)
        1    0.000    0.000    4.360    4.360 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/openpyxl/reader/excel.py:288(load_workbook)
        1    0.000    0.000    4.360    4.360 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/openpyxl/reader/excel.py:275(read)
        1    0.005    0.005    4.354    4.354 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/openpyxl/reader/excel.py:139(read_strings)
        1    0.394    0.394    4.349    4.349 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/openpyxl/reader/strings.py:9(read_string_table)
        2    0.000    0.000    4.312    2.156 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/generic.py:3536(to_csv)
        2    0.000    0.000    4.312    2.156 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/formats/format.py:1139(to_csv)
        2    0.000    0.000    4.312    2.156 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/formats/csvs.py:236(save)
     3006    0.010    0.000    4.310    0.001 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/arrays/string_.py:422(astype)
     3002    0.004    0.000    4.256    0.001 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/arrays/base.py:579(astype)
        2    0.000    0.000    4.236    2.118 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/formats/csvs.py:263(_save)
        2    0.048    0.024    4.236    2.118 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/formats/csvs.py:296(_save_body)
      107    0.001    0.000    4.201    0.039 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/construction.py:488(<listcomp>)
      117    0.003    0.000    4.188    0.036 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/formats/csvs.py:306(_save_chunk)
5756/5310    2.831    0.000    3.984    0.001 {built-in method numpy.core._multiarray_umath.implement_array_function}
       94    0.004    0.000    3.947    0.042 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/series.py:5490(isin)
   152/94    3.885    0.026    3.932    0.042 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/algorithms.py:439(isin)
      263    0.002    0.000    3.903    0.015 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/managers.py:681(reindex_indexer)
      301    0.678    0.002    3.900    0.013 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/managers.py:1840(_consolidate_inplace)
        1    0.051    0.051    3.897    3.897 enrichissement.py:150(enrichissement_arrondissement)
      192    0.001    0.000    3.825    0.020 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/generic.py:6258(copy)
      192    0.001    0.000    3.819    0.020 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/managers.py:611(copy)
       56    0.001    0.000    3.626    0.065 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/reshape/merge.py:628(__init__)
 23577158    2.463    0.000    3.476    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/strings/accessor.py:1716(<lambda>)
969271/651605    0.953    0.000    3.284    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geopy/point.py:154(__new__)
     1794    0.004    0.000    3.276    0.002 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/array_algos/take.py:57(take_nd)
    14797    0.281    0.000    3.243    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/arrays/string_.py:329(_from_sequence)
     1794    0.009    0.000    3.222    0.002 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
      132    0.001    0.000    3.207    0.024 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/managers.py:2285(_consolidate)
      326    2.012    0.006    3.206    0.010 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/managers.py:2327(_merge_blocks)
       24    0.001    0.000    3.186    0.133 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/strings/accessor.py:426(cat)
    14746    0.010    0.000    3.179    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/arrays/string_.py:355(_from_sequence_of_strings)
8078/5094    0.003    0.000    3.106    0.001 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:108(isna)
8078/5094    0.009    0.000    3.104    0.001 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:191(_isna)
